order_item_id,order_id,user_id,product_id,quantity,unit_price,total_price,order_date
1,1001,2,8,1,375.0,375.0,2025-01-13
2,1001,2,5,5,695.0,3475.0,2025-01-13
3,1002,1,11,3,109.5,328.5,2026-01-24
4,1002,1,9,1,64.0,64.0,2026-01-24
5,1002,1,5,1,695.0,695.0,2026-01-24
6,1002,1,7,4,7.95,31.8,2026-01-24
7,1003,4,7,4,7.95,31.8,2025-10-18
8,1003,4,16,2,299.0,598.0,2025-10-18
9,1003,4,13,3,9.85,29.55,2025-10-18
10,1004,7,18,5,129.0,645.0,2025-11-02
11,1004,7,1,3,109.95,329.85,2025-11-02
12,1004,7,4,3,15.99,47.97,2025-11-02
13,1005,8,17,1,49.99,49.99,2025-01-02
14,1005,8,6,3,168.0,504.0,2025-01-02
15,1005,8,20,5,24.99,124.95,2025-01-02
16,1006,3,20,3,24.99,74.97,2025-10-04
17,1007,10,10,3,67.99,203.97,2025-08-05
18,1007,10,13,4,9.85,39.4,2025-08-05
19,1008,1,2,4,22.3,89.2,2025-12-11
20,1009,9,6,4,168.0,672.0,2025-01-08
21,1009,9,14,4,19.99,79.96,2025-01-08
22,1010,9,7,2,7.95,15.9,2025-12-05
23,1010,9,10,1,67.99,67.99,2025-12-05
24,1011,3,11,5,109.5,547.5,2025-12-10
25,1011,3,3,5,55.99,279.95,2025-12-10
26,1011,3,1,1,109.95,109.95,2025-12-10
27,1011,3,15,1,39.99,39.99,2025-12-10
28,1012,1,4,1,15.99,15.99,2025-12-08
29,1012,1,5,1,695.0,695.0,2025-12-08
30,1012,1,9,5,64.0,320.0,2025-12-08
31,1013,3,15,4,39.99,159.96,2025-11-23
32,1013,3,18,5,129.0,645.0,2025-11-23
33,1014,9,8,2,375.0,750.0,2025-07-28
34,1014,9,6,4,168.0,672.0,2025-07-28
35,1015,9,12,1,12.99,12.99,2025-12-18
36,1015,9,14,3,19.99,59.97,2025-12-18
37,1016,2,14,3,19.99,59.97,2026-01-04
38,1016,2,11,5,109.5,547.5,2026-01-04
39,1016,2,13,2,9.85,19.7,2026-01-04
40,1017,7,20,3,24.99,74.97,2025-12-13
41,1017,7,19,4,89.99,359.96,2025-12-13
42,1018,9,3,2,55.99,111.98,2025-12-06
43,1018,9,8,2,375.0,750.0,2025-12-06
44,1018,9,10,2,67.99,135.98,2025-12-06
45,1019,8,15,4,39.99,159.96,2025-11-09
46,1020,3,14,2,19.99,39.98,2025-12-02
47,1021,8,15,5,39.99,199.95,2025-12-08
48,1021,8,17,4,49.99,199.96,2025-12-08
49,1021,8,14,2,19.99,39.98,2025-12-08
50,1022,6,6,4,168.0,672.0,2025-12-09
51,1022,6,15,5,39.99,199.95,2025-12-09
52,1022,6,5,5,695.0,3475.0,2025-12-09
53,1022,6,1,1,109.95,109.95,2025-12-09
54,1023,8,12,2,12.99,25.98,2025-01-10
55,1024,7,3,2,55.99,111.98,2025-07-23
56,1024,7,19,1,89.99,89.99,2025-07-23
57,1025,5,19,1,89.99,89.99,2025-12-17
58,1026,6,4,2,15.99,31.98,2025-01-07
59,1026,6,14,4,19.99,79.96,2025-01-07
60,1026,6,12,2,12.99,25.98,2025-01-07
61,1026,6,15,5,39.99,199.95,2025-01-07
62,1027,5,15,2,39.99,79.98,2025-11-12
63,1027,5,14,1,19.99,19.99,2025-11-12
64,1027,5,9,3,64.0,192.0,2025-11-12
65,1027,5,11,4,109.5,438.0,2025-11-12
66,1028,10,17,2,49.99,99.98,2025-12-26
67,1029,8,1,4,109.95,439.8,2025-11-27
68,1029,8,3,2,55.99,111.98,2025-11-27
69,1029,8,10,3,67.99,203.97,2025-11-27
70,1029,8,8,5,375.0,1875.0,2025-11-27
71,1030,6,12,3,12.99,38.97,2025-08-06
72,1030,6,15,3,39.99,119.97,2025-08-06
73,1030,6,9,2,64.0,128.0,2025-08-06
74,1031,3,4,4,15.99,63.96,2025-11-23
75,1031,3,1,4,109.95,439.8,2025-11-23
76,1031,3,10,3,67.99,203.97,2025-11-23
77,1031,3,16,2,299.0,598.0,2025-11-23
78,1032,5,19,2,89.99,179.98,2025-10-29
79,1032,5,2,2,22.3,44.6,2025-10-29
80,1032,5,4,3,15.99,47.97,2025-10-29
81,1033,10,14,5,19.99,99.95,2025-12-05
82,1033,10,4,2,15.99,31.98,2025-12-05
83,1034,5,15,3,39.99,119.97,2025-11-01
84,1034,5,4,4,15.99,63.96,2025-11-01
85,1034,5,20,3,24.99,74.97,2025-11-01
86,1035,10,19,4,89.99,359.96,2025-10-28
87,1035,10,2,5,22.3,111.5,2025-10-28
88,1035,10,6,4,168.0,672.0,2025-10-28
89,1036,7,16,3,299.0,897.0,2025-11-22
90,1037,1,14,3,19.99,59.97,2025-12-03
91,1037,1,2,5,22.3,111.5,2025-12-03
92,1037,1,7,4,7.95,31.8,2025-12-03
93,1037,1,17,4,49.99,199.96,2025-12-03
94,1038,2,16,5,299.0,1495.0,2025-08-25
95,1038,2,10,3,67.99,203.97,2025-08-25
96,1039,9,9,4,64.0,256.0,2026-01-18
97,1040,10,5,3,695.0,2085.0,2025-10-24
98,1040,10,15,3,39.99,119.97,2025-10-24
99,1040,10,18,5,129.0,645.0,2025-10-24
100,1040,10,16,5,299.0,1495.0,2025-10-24
101,1041,7,8,4,375.0,1500.0,2025-08-22
102,1041,7,19,2,89.99,179.98,2025-08-22
103,1042,8,13,2,9.85,19.7,2025-12-28
104,1042,8,5,5,695.0,3475.0,2025-12-28
105,1042,8,16,5,299.0,1495.0,2025-12-28
106,1042,8,2,3,22.3,66.9,2025-12-28
107,1043,8,5,3,695.0,2085.0,2025-01-08
108,1043,8,3,5,55.99,279.95,2025-01-08
109,1043,8,16,4,299.0,1196.0,2025-01-08
110,1043,8,9,1,64.0,64.0,2025-01-08
111,1044,6,11,5,109.5,547.5,2025-12-12
112,1044,6,16,1,299.0,299.0,2025-12-12
113,1044,6,18,2,129.0,258.0,2025-12-12
114,1044,6,2,3,22.3,66.9,2025-12-12
115,1045,5,15,3,39.99,119.97,2025-12-13
116,1046,5,9,3,64.0,192.0,2025-01-12
117,1046,5,1,2,109.95,219.9,2025-01-12
118,1046,5,2,5,22.3,111.5,2025-01-12
119,1046,5,16,3,299.0,897.0,2025-01-12
120,1047,5,4,3,15.99,47.97,2025-12-14
121,1047,5,2,4,22.3,89.2,2025-12-14
122,1048,4,18,1,129.0,129.0,2025-12-13
123,1048,4,12,3,12.99,38.97,2025-12-13
124,1048,4,3,5,55.99,279.95,2025-12-13
125,1048,4,13,1,9.85,9.85,2025-12-13
126,1049,6,19,4,89.99,359.96,2025-12-10
127,1049,6,5,5,695.0,3475.0,2025-12-10
128,1049,6,14,4,19.99,79.96,2025-12-10
129,1049,6,4,3,15.99,47.97,2025-12-10
130,1050,8,4,3,15.99,47.97,2025-08-16
131,1050,8,12,1,12.99,12.99,2025-08-16
132,1050,8,18,4,129.0,516.0,2025-08-16
133,1051,10,15,4,39.99,159.96,2025-01-23
134,1051,10,1,4,109.95,439.8,2025-01-23
135,1051,10,2,4,22.3,89.2,2025-01-23
136,1052,9,15,4,39.99,159.96,2026-01-05
137,1052,9,8,4,375.0,1500.0,2026-01-05
138,1052,9,14,4,19.99,79.96,2026-01-05
139,1052,9,11,1,109.5,109.5,2026-01-05
140,1053,5,3,4,55.99,223.96,2025-07-11
141,1053,5,20,1,24.99,24.99,2025-07-11
142,1053,5,19,3,89.99,269.97,2025-07-11
143,1053,5,18,2,129.0,258.0,2025-07-11
144,1054,9,20,3,24.99,74.97,2026-01-28
145,1055,3,6,4,168.0,672.0,2026-01-25
146,1056,6,3,5,55.99,279.95,2025-12-14
147,1056,6,11,4,109.5,438.0,2025-12-14
148,1056,6,4,3,15.99,47.97,2025-12-14
149,1057,5,11,5,109.5,547.5,2026-01-06
150,1057,5,3,2,55.99,111.98,2026-01-06
151,1058,9,20,3,24.99,74.97,2025-08-03
152,1058,9,5,1,695.0,695.0,2025-08-03
153,1059,2,10,1,67.99,67.99,2025-12-31
154,1060,8,15,3,39.99,119.97,2025-12-23
155,1060,8,1,2,109.95,219.9,2025-12-23
156,1060,8,3,2,55.99,111.98,2025-12-23
157,1060,8,19,5,89.99,449.95,2025-12-23
158,1061,9,9,3,64.0,192.0,2025-07-23
159,1061,9,2,1,22.3,22.3,2025-07-23
160,1061,9,7,3,7.95,23.85,2025-07-23
161,1061,9,10,3,67.99,203.97,2025-07-23
162,1062,6,2,3,22.3,66.9,2025-11-11
163,1062,6,3,5,55.99,279.95,2025-11-11
164,1062,6,13,2,9.85,19.7,2025-11-11
165,1063,6,20,2,24.99,49.98,2025-07-16
166,1064,9,9,3,64.0,192.0,2025-07-18
167,1065,5,7,4,7.95,31.8,2025-12-22
168,1065,5,4,2,15.99,31.98,2025-12-22
169,1065,5,5,4,695.0,2780.0,2025-12-22
170,1065,5,3,1,55.99,55.99,2025-12-22
171,1066,10,19,1,89.99,89.99,2026-01-04
172,1066,10,2,1,22.3,22.3,2026-01-04
173,1066,10,1,5,109.95,549.75,2026-01-04
174,1067,6,13,5,9.85,49.25,2026-01-11
175,1067,6,5,5,695.0,3475.0,2026-01-11
176,1067,6,12,1,12.99,12.99,2026-01-11
177,1068,10,18,4,129.0,516.0,2025-12-01
178,1068,10,1,2,109.95,219.9,2025-12-01
179,1068,10,4,3,15.99,47.97,2025-12-01
180,1069,10,4,3,15.99,47.97,2025-12-15
181,1069,10,13,3,9.85,29.55,2025-12-15
182,1070,10,17,4,49.99,199.96,2026-01-14
183,1070,10,20,5,24.99,124.95,2026-01-14
184,1070,10,18,3,129.0,387.0,2026-01-14
185,1071,9,5,2,695.0,1390.0,2025-11-19
186,1071,9,8,1,375.0,375.0,2025-11-19
187,1071,9,2,4,22.3,89.2,2025-11-19
188,1071,9,4,3,15.99,47.97,2025-11-19
189,1072,3,18,5,129.0,645.0,2025-08-24
190,1072,3,12,4,12.99,51.96,2025-08-24
191,1072,3,9,2,64.0,128.0,2025-08-24
192,1073,4,16,3,299.0,897.0,2025-12-20
193,1073,4,12,3,12.99,38.97,2025-12-20
194,1073,4,18,1,129.0,129.0,2025-12-20
195,1074,10,12,3,12.99,38.97,2025-12-13
196,1074,10,5,1,695.0,695.0,2025-12-13
197,1074,10,10,3,67.99,203.97,2025-12-13
198,1074,10,2,4,22.3,89.2,2025-12-13
199,1075,2,8,5,375.0,1875.0,2025-11-12
200,1075,2,2,2,22.3,44.6,2025-11-12
201,1076,3,14,4,19.99,79.96,2025-01-03
202,1076,3,16,2,299.0,598.0,2025-01-03
203,1077,3,16,1,299.0,299.0,2025-01-19
204,1077,3,6,3,168.0,504.0,2025-01-19
205,1077,3,10,5,67.99,339.95,2025-01-19
206,1077,3,2,5,22.3,111.5,2025-01-19
207,1078,7,4,5,15.99,79.95,2025-12-18
